Protocolo,Aberto em,Prioridade,Tempo de Resposta (h),Atendente,CNPJ do Cliente,Resolvido,Descrição do problema,Custo do Atendimento
2024057,2024-02-22 16:17,Alta,"19,5",Equipe N2,41.435.911/0001-88,true,Dúvida sobre fatura (ticket 57),"282,33"
2024058,2024-03-23 16:15,Crítica,"36,8",Equipe N1,25.279.701/0001-36,false,Erro 500 no login (ticket 58),"38,79"
2024059,2024-01-08 10:39,Alta,"0,6",Plantão,91.935.157/0001-26,false,Sistema lento ao emitir nota (ticket 59),"89,38"
2024060,2024-06-04 13:29,Alta,"28,2",Plantão,93.514.652/0001-42,false,Erro 500 no login (ticket 60),"100,09"
2024061,2024-05-23 09:55,Alta,"7,7",Equipe N2,25.498.275/0001-90,true,Integração parou de sincronizar pedidos (ticket 61),"206,44"
2024062,2024-04-18 18:58,Crítica,"16,4",Plantão,78.812.714/0001-44,false,Integração parou de sincronizar pedidos (ticket 62),"148,79"
2024063,2024-06-09 10:47,Média,"30,7",Equipe N2,51.745.172/0001-15,false,Dúvida sobre fatura (ticket 63),"167,17"
2024064,2024-05-25 08:34,Média,"4,9",Equipe N2,87.362.290/0001-61,false,Dúvida sobre fatura (ticket 64),"137,24"
2024065,2024-01-01 11:13,Baixa,"24,0",Equipe N2,34.236.818/0001-29,false,Sistema lento ao emitir nota (ticket 65),"179,95"
2024066,2024-06-03 12:12,Baixa,"41,0",Equipe N1,12.365.248/0001-11,false,Erro 500 no login (ticket 66),"74,11"
2024067,2024-05-26 09:10,Alta,"34,0",Equipe N2,66.750.716/0001-51,true,Integração parou de sincronizar pedidos (ticket 67),"36,01"
2024068,2024-04-24 09:40,Média,"9,5",Equipe N2,41.100.389/0001-99,true,Integração parou de sincronizar pedidos (ticket 68),"378,92"
2024069,2024-01-24 11:24,Baixa,"19,8",Equipe N2,67.963.939/0001-21,true,Dúvida sobre fatura (ticket 69),"97,60"
2024070,2024-06-16 13:16,Alta,"30,2",Equipe N1,42.424.311/0001-30,false,Erro 500 no login (ticket 70),"41,29"
2024071,2024-06-11 16:08,Crítica,"37,0",Equipe N1,39.608.233/0001-77,false,Dúvida sobre fatura (ticket 71),"107,93"
2024072,2024-03-10 14:17,Baixa,"41,2",Plantão,73.464.257/0001-53,false,Erro 500 no login (ticket 72),"377,71"
2024073,2024-04-05 13:01,Média,"44,5",Equipe N2,82.759.908/0001-94,true,Sistema lento ao emitir nota (ticket 73),"231,01"
2024074,2024-04-17 15:20,Crítica,"35,0",Equipe N2,57.308.248/0001-34,true,Sistema lento ao emitir nota (ticket 74),"317,67"
2024075,2024-04-01 11:25,Baixa,"40,8",Plantão,99.307.711/0001-12,false,Sistema lento ao emitir nota (ticket 75),"326,02"
2024076,2024-03-20 09:40,Crítica,"4,6",Equipe N1,90.571.940/0001-65,true,Erro 500 no login (ticket 76),"297,66"
2024077,2024-06-05 12:38,Média,"16,0",Plantão,47.124.576/0001-13,true,Dúvida sobre fatura (ticket 77),"271,81"
2024078,2024-03-26 11:57,Baixa,"27,5",Equipe N1,92.671.866/0001-37,true,Erro 500 no login (ticket 78),"61,56"
2024079,2024-04-12 10:03,Baixa,"8,7",Plantão,61.728.938/0001-12,false,Dúvida sobre fatura (ticket 79),"389,22"
2024080,2024-06-17 09:22,Média,"40,5",Equipe N2,64.454.867/0001-89,false,Dúvida sobre fatura (ticket 80),"186,28"
2024081,2024-04-11 16:50,Baixa,"12,8",Plantão,39.283.102/0001-68,false,Erro 500 no login (ticket 81),"225,23"
2024082,2024-03-14 13:02,Média,"21,7",Equipe N2,70.436.579/0001-21,false,Dúvida sobre fatura (ticket 82),"91,33"
2024083,2024-04-14 08:08,Baixa,"38,6",Equipe N1,80.200.841/0001-96,true,Integração parou de sincronizar pedidos (ticket 83),"176,12"
2024084,2024-05-12 10:55,Média,"20,2",Plantão,92.359.934/0001-71,false,Erro 500 no login (ticket 84),"237,91"
2024085,2024-06-27 12:00,Baixa,"11,7",Equipe N1,93.576.527/0001-61,false,Sistema lento ao emitir nota (ticket 85),"343,96"
2024086,2024-04-11 17:32,Baixa,"41,9",Equipe N1,52.183.117/0001-38,true,Sistema lento ao emitir nota (ticket 86),"130,85"
2024087,2024-03-14 11:01,Alta,"48,0",Equipe N2,13.883.307/0001-95,true,Integração parou de sincronizar pedidos (ticket 87),"183,99"
2024088,2024-05-08 10:30,Crítica,"31,1",Equipe N1,14.416.854/0001-40,true,Dúvida sobre fatura (ticket 88),"185,36"
2024089,2024-02-07 13:52,Crítica,"40,0",Equipe N2,76.238.639/0001-57,true,Sistema lento ao emitir nota (ticket 89),"125,22"
2024090,2024-02-04 09:55,Crítica,"42,5",Plantão,11.941.237/0001-80,true,Dúvida sobre fatura (ticket 90),"35,62"
2024091,2024-05-03 08:46,Baixa,"8,2",Plantão,92.831.812/0001-88,true,Dúvida sobre fatura (ticket 91),"355,83"
2024092,2024-04-22 13:59,Crítica,"46,3",Equipe N2,15.940.455/0001-18,false,Dúvida sobre fatura (ticket 92),"120,49"
2024093,2024-05-01 18:50,Alta,"30,0",Plantão,81.831.584/0001-98,true,Erro 500 no login (ticket 93),"34,12"
2024094,2024-03-04 09:34,Crítica,"36,3",Equipe N2,82.358.605/0001-15,true,Erro 500 no login (ticket 94),"368,20"
2024095,2024-03-03 16:34,Alta,"3,7",Equipe N2,17.327.755/0001-20,true,Erro 500 no login (ticket 95),"263,64"
2024096,2024-02-11 11:00,Alta,"1,9",Plantão,29.332.474/0001-29,true,Erro 500 no login (ticket 96),"21,60"
2024097,2024-06-08 15:43,Média,"45,1",Equipe N2,94.404.353/0001-30,true,Sistema lento ao emitir nota (ticket 97),"229,44"
2024098,2024-01-31 17:46,Média,"29,3",Equipe N1,59.220.729/0001-89,false,Dúvida sobre fatura (ticket 98),"69,60"
2024099,2024-03-04 11:07,Baixa,"3,5",Equipe N2,13.655.808/0001-24,false,Sistema lento ao emitir nota (ticket 99),"139,67"
2024100,2024-03-18 15:41,Alta,"18,0",Equipe N1,78.570.973/0001-50,false,Integração parou de sincronizar pedidos (ticket 100),"89,15"
2024101,2024-03-28 12:08,Alta,"30,6",Plantão,56.831.819/0001-78,true,Integração parou de sincronizar pedidos (ticket 101),"364,51"
2024102,2024-06-13 11:03,Crítica,"18,3",Plantão,62.816.420/0001-40,true,Integração parou de sincronizar pedidos (ticket 102),"349,55"
2024103,2024-05-27 09:22,Alta,"14,0",Plantão,13.370.395/0001-25,false,Integração parou de sincronizar pedidos (ticket 103),"188,78"
2024104,2024-04-14 17:08,Crítica,"44,5",Equipe N2,60.839.788/0001-65,true,Sistema lento ao emitir nota (ticket 104),"289,33"
2024105,2024-02-10 08:32,Baixa,"44,8",Equipe N2,43.522.997/0001-84,false,Integração parou de sincronizar pedidos (ticket 105),"273,54"
2024106,2024-06-19 18:07,Crítica,"11,4",Equipe N1,13.679.677/0001-32,true,Erro 500 no login (ticket 106),"154,78"
2024107,2024-05-10 14:46,Alta,"43,2",Equipe N1,54.866.651/0001-65,false,Sistema lento ao emitir nota (ticket 107),"154,12"
2024108,2024-02-03 12:10,Média,"36,2",Equipe N1,35.629.209/0001-91,true,Erro 500 no login (ticket 108),"213,58"
2024109,2024-03-24 18:53,Média,"25,7",Equipe N2,14.148.998/0001-44,true,Dúvida sobre fatura (ticket 109),"225,15"
2024110,2024-05-26 12:12,Média,"37,3",Equipe N1,81.917.347/0001-59,false,Erro 500 no login (ticket 110),"343,03"
2024111,2024-02-09 10:45,Crítica,"19,2",Equipe N2,15.717.283/0001-12,false,Erro 500 no login (ticket 111),"385,70"
2024112,2024-04-17 12:53,Alta,"44,3",Equipe N1,19.958.986/0001-35,true,Integração parou de sincronizar pedidos (ticket 112),"37,83"
2024113,2024-04-18 15:50,Crítica,"27,8",Equipe N1,40.825.965/0001-34,false,Dúvida sobre fatura (ticket 113),"273,28"
2024114,2024-02-08 18:22,Média,"20,6",Equipe N1,55.448.233/0001-99,false,Sistema lento ao emitir nota (ticket 114),"49,09"
2024115,2024-01-17 11:37,Crítica,"16,8",Equipe N2,25.864.427/0001-79,true,Dúvida sobre fatura (ticket 115),"281,44"
2024116,2024-06-12 08:55,Baixa,"42,1",Equipe N1,50.789.936/0001-34,false,Sistema lento ao emitir nota (ticket 116),"271,56"
2024117,2024-04-19 18:54,Alta,"9,2",Equipe N2,32.516.203/0001-18,false,Integração parou de sincronizar pedidos (ticket 117),"384,80"
2024118,2024-04-12 10:59,Alta,"44,2",Equipe N2,18.553.464/0001-38,false,Sistema lento ao emitir nota (ticket 118),"329,43"
2024119,2024-03-22 11:21,Média,"17,5",Plantão,10.156.802/0001-71,true,Erro 500 no login (ticket 119),"182,34"
2024120,2024-06-10 10:43,Baixa,"16,0",Equipe N1,83.667.101/0001-68,false,Integração parou de sincronizar pedidos (ticket 120),"297,55"
2024121,2024-04-16 15:01,Média,"23,4",Equipe N1,82.807.888/0001-71,false,Sistema lento ao emitir nota (ticket 121),"338,08"
2024122,2024-03-21 14:12,Média,"47,4",Equipe N2,31.537.183/0001-84,true,Integração parou de sincronizar pedidos (ticket 122),"81,47"
2024123,2024-04-09 17:02,Média,"16,4",Equipe N1,23.938.978/0001-59,false,Erro 500 no login (ticket 123),"330,24"
2024124,2024-02-23 08:27,Alta,"7,3",Equipe N1,56.854.779/0001-83,false,Sistema lento ao emitir nota (ticket 124),"347,46"
2024125,2024-06-25 14:18,Baixa,"19,6",Plantão,80.873.596/0001-27,false,Sistema lento ao emitir nota (ticket 125),"155,92"
2024126,2024-06-03 14:13,Alta,"25,9",Plantão,66.505.932/0001-79,false,Sistema lento ao emitir nota (ticket 126),"387,69"
2024127,2024-02-18 11:46,Média,"9,0",Plantão,57.645.913/0001-86,false,Erro 500 no login (ticket 127),"76,07"
2024128,2024-06-13 14:02,Crítica,"27,4",Plantão,95.882.223/0001-73,false,Integração parou de sincronizar pedidos (ticket 128),"346,67"
2024129,2024-02-05 18:29,Média,"47,6",Equipe N1,99.648.355/0001-63,true,Erro 500 no login (ticket 129),"58,21"
2024130,2024-05-06 15:08,Média,"43,4",Equipe N1,67.283.417/0001-23,true,Integração parou de sincronizar pedidos (ticket 130),"239,76"
2024131,2024-03-29 18:30,Baixa,"16,3",Equipe N1,79.522.668/0001-64,false,Sistema lento ao emitir nota (ticket 131),"337,92"
2024132,2024-05-02 18:45,Crítica,"4,0",Equipe N1,80.639.946/0001-34,false,Erro 500 no login (ticket 132),"102,95"
2024133,2024-01-10 12:48,Crítica,"13,7",Equipe N2,39.963.433/0001-57,true,Dúvida sobre fatura (ticket 133),"95,59"
2024134,2024-04-27 17:54,Crítica,"38,7",Equipe N2,12.335.716/0001-70,true,Sistema lento ao emitir nota (ticket 134),"195,77"
2024135,2024-05-29 13:22,Crítica,"26,8",Equipe N2,45.966.703/0001-95,true,Integração parou de sincronizar pedidos (ticket 135),"250,55"
2024136,2024-02-07 08:04,Baixa,"6,5",Equipe N1,22.639.867/0001-37,true,Dúvida sobre fatura (ticket 136),"362,37"
2024137,2024-06-18 08:55,Baixa,"15,2",Plantão,95.911.148/0001-95,true,Integração parou de sincronizar pedidos (ticket 137),"283,34"
2024138,2024-02-03 17:47,Baixa,"46,2",Plantão,51.735.534/0001-22,false,Dúvida sobre fatura (ticket 138),"379,25"
2024139,2024-06-09 15:12,Crítica,"27,0",Equipe N1,13.827.408/0001-58,true,Sistema lento ao emitir nota (ticket 139),"76,19"
2024140,2024-03-28 09:19,Baixa,"33,8",Plantão,49.111.225/0001-63,true,Dúvida sobre fatura (ticket 140),"194,48"
2024141,2024-03-25 17:53,Baixa,"24,3",Equipe N1,55.876.408/0001-95,false,Sistema lento ao emitir nota (ticket 141),"107,02"
2024142,2024-03-08 14:51,Alta,"32,1",Equipe N2,83.313.652/0001-76,true,Erro 500 no login (ticket 142),"344,82"
2024143,2024-05-24 12:05,Crítica,"5,6",Equipe N1,23.552.862/0001-26,false,Erro 500 no login (ticket 143),"260,74"
2024144,2024-02-08 08:17,Média,"15,7",Equipe N2,97.995.972/0001-76,true,Dúvida sobre fatura (ticket 144),"128,83"
2024145,2024-04-02 18:27,Alta,"37,5",Plantão,95.308.592/0001-21,false,Erro 500 no login (ticket 145),"117,96"
2024146,2024-03-19 16:55,Alta,"17,9",Equipe N1,13.919.840/0001-81,false,Sistema lento ao emitir nota (ticket 146),"215,92"
2024147,2024-06-01 12:47,Alta,"36,3",Plantão,24.915.572/0001-30,true,Sistema lento ao emitir nota (ticket 147),"247,06"
2024148,2024-03-01 15:43,Crítica,"42,4",Plantão,60.255.363/0001-86,false,Erro 500 no login (ticket 148),"39,15"
2024149,2024-05-19 11:10,Média,"38,5",Equipe N1,38.360.390/0001-77,false,Integração parou de sincronizar pedidos (ticket 149),"232,18"
2024150,2024-02-18 08:43,Média,"47,3",Equipe N1,17.411.982/0001-70,true,Dúvida sobre fatura (ticket 150),"144,27"
2024151,2024-06-07 14:20,Média,"31,0",Plantão,75.541.214/0001-65,true,Sistema lento ao emitir nota (ticket 151),"194,82"
2024152,2024-02-10 12:54,Baixa,"34,8",Plantão,48.473.468/0001-43,false,Integração parou de sincronizar pedidos (ticket 152),"339,70"
2024153,2024-01-17 16:45,Baixa,"42,6",Equipe N1,17.320.363/0001-35,true,Erro 500 no login (ticket 153),"146,20"
2024154,2024-05-23 17:01,Média,"29,0",Equipe N1,19.927.928/0001-96,true,Integração parou de sincronizar pedidos (ticket 154),"168,77"
2024155,2024-05-02 11:42,Alta,"29,0",Equipe N1,52.181.200/0001-97,true,Erro 500 no login (ticket 155),"391,46"
2024156,2024-05-03 17:30,Média,"44,8",Plantão,53.633.709/0001-13,false,Dúvida sobre fatura (ticket 156),"216,31"
2024157,2024-05-26 11:29,Alta,"10,9",Equipe N1,74.792.303/0001-66,true,Erro 500 no login (ticket 157),"137,76"
2024158,2024-01-21 11:00,Média,"3,3",Equipe N1,22.671.274/0001-63,false,Erro 500 no login (ticket 158),"236,09"
2024159,2024-04-15 09:10,Baixa,"1,6",Plantão,69.648.735/0001-97,true,Sistema lento ao emitir nota (ticket 159),"96,70"
2024160,2024-05-06 15:30,Crítica,"37,5",Plantão,39.750.121/0001-52,true,Erro 500 no login (ticket 160),"268,50"
2024161,2024-02-12 10:57,Baixa,"6,9",Plantão,71.183.940/0001-39,false,Dúvida sobre fatura (ticket 161),"77,49"
2024162,2024-03-14 10:08,Crítica,"35,1",Equipe N1,93.369.874/0001-61,false,Erro 500 no login (ticket 162),"369,41"
2024163,2024-01-03 08:38,Baixa,"15,8",Equipe N1,59.602.253/0001-90,false,Erro 500 no login (ticket 163),"75,68"
2024164,2024-04-11 14:20,Alta,"45,9",Plantão,48.231.535/0001-18,true,Dúvida sobre fatura (ticket 164),"338,29"
2024165,2024-02-03 08:40,Crítica,"5,9",Equipe N2,94.881.777/0001-25,true,Erro 500 no login (ticket 165),"216,72"
2024166,2024-06-14 17:16,Baixa,"27,2",Equipe N1,73.645.634/0001-52,false,Dúvida sobre fatura (ticket 166),"376,10"
2024167,2024-05-03 09:31,Média,"21,6",Equipe N1,40.519.680/0001-84,false,Sistema lento ao emitir nota (ticket 167),"38,43"
2024168,2024-05-05 18:41,Alta,"34,9",Equipe N1,92.753.118/0001-96,true,Integração parou de sincronizar pedidos (ticket 168),"74,84"
2024169,2024-05-26 10:23,Média,"13,8",Plantão,84.862.855/0001-66,true,Sistema lento ao emitir nota (ticket 169),"178,84"
2024170,2024-06-22 08:20,Média,"23,5",Plantão,42.509.589/0001-73,false,Integração parou de sincronizar pedidos (ticket 170),"362,21"
2024171,2024-05-04 17:51,Baixa,"11,3",Plantão,56.800.915/0001-53,true,Dúvida sobre fatura (ticket 171),"349,57"
2024172,2024-05-10 08:39,Alta,"4,5",Equipe N1,25.789.145/0001-24,false,Erro 500 no login (ticket 172),"139,20"
2024173,2024-03-26 08:47,Alta,"16,0",Plantão,13.701.823/0001-34,false,Erro 500 no login (ticket 173),"48,94"
2024174,2024-04-19 18:30,Alta,"2,2",Plantão,13.484.897/0001-64,true,Integração parou de sincronizar pedidos (ticket 174),"66,97"
2024175,2024-04-14 08:16,Média,"38,5",Equipe N1,79.369.895/0001-27,false,Dúvida sobre fatura (ticket 175),"208,80"
2024176,2024-04-12 18:37,Crítica,"22,5",Plantão,83.756.273/0001-88,true,Erro 500 no login (ticket 176),"222,28"
2024177,2024-06-02 17:56,Média,"6,3",Equipe N1,46.895.469/0001-15,false,Dúvida sobre fatura (ticket 177),"108,00"
2024178,2024-02-23 09:34,Crítica,"16,0",Equipe N1,32.506.329/0001-99,true,Dúvida sobre fatura (ticket 178),"146,24"
2024179,2024-06-21 10:17,Baixa,"38,9",Equipe N1,98.681.285/0001-44,true,Sistema lento ao emitir nota (ticket 179),"84,77"
2024180,2024-04-01 16:39,Crítica,"30,5",Equipe N2,24.369.495/0001-51,true,Sistema lento ao emitir nota (ticket 180),"164,35"
2024181,2024-04-02 11:43,Média,"0,7",Equipe N1,46.163.478/0001-62,true,Erro 500 no login (ticket 181),"243,33"
2024182,2024-03-10 17:02,Alta,"42,7",Equipe N2,61.351.517/0001-76,false,Integração parou de sincronizar pedidos (ticket 182),"346,20"
2024183,2024-01-18 08:03,Alta,"32,2",Equipe N1,42.755.458/0001-21,false,Erro 500 no login (ticket 183),"92,08"
2024184,2024-03-27 09:53,Média,"38,6",Plantão,54.994.122/0001-78,false,Sistema lento ao emitir nota (ticket 184),"212,10"
2024185,2024-02-15 09:33,Alta,"24,0",Equipe N1,18.354.121/0001-56,false,Erro 500 no login (ticket 185),"47,29"
2024186,2024-02-12 15:11,Baixa,"15,6",Equipe N2,77.411.193/0001-17,true,Integração parou de sincronizar pedidos (ticket 186),"384,57"
2024187,2024-03-17 08:05,Alta,"43,3",Equipe N2,88.663.403/0001-79,false,Dúvida sobre fatura (ticket 187),"155,80"
2024188,2024-06-17 18:54,Alta,"24,6",Equipe N2,38.571.914/0001-47,true,Sistema lento ao emitir nota (ticket 188),"372,05"
2024189,2024-01-20 11:07,Baixa,"44,1",Equipe N2,54.118.159/0001-48,false,Dúvida sobre fatura (ticket 189),"347,58"
2024190,2024-04-28 18:12,Baixa,"26,4",Equipe N1,11.815.156/0001-92,false,Sistema lento ao emitir nota (ticket 190),"392,85"
2024191,2024-06-12 08:42,Média,"36,1",Equipe N2,39.170.393/0001-84,false,Dúvida sobre fatura (ticket 191),"365,82"
2024192,2024-03-27 09:40,Baixa,"31,3",Plantão,85.312.615/0001-30,false,Sistema lento ao emitir nota (ticket 192),"397,20"
2024193,2024-06-20 17:16,Alta,"19,6",Equipe N1,97.651.839/0001-57,true,Sistema lento ao emitir nota (ticket 193),"397,08"
2024194,2024-02-10 15:48,Média,"45,0",Equipe N2,53.547.370/0001-54,false,Erro 500 no login (ticket 194),"145,10"
2024195,2024-04-01 13:48,Baixa,"25,6",Equipe N2,55.550.619/0001-83,false,Dúvida sobre fatura (ticket 195),"288,36"
2024196,2024-01-06 08:08,Alta,"12,9",Plantão,76.971.212/0001-23,true,Erro 500 no login (ticket 196),"60,26"
2024197,2024-06-28 18:43,Crítica,"46,5",Plantão,29.929.490/0001-26,true,Sistema lento ao emitir nota (ticket 197),"135,10"
2024198,2024-01-02 16:38,Baixa,"3,7",Plantão,33.114.675/0001-57,true,Sistema lento ao emitir nota (ticket 198),"386,78"
2024199,2024-03-29 10:20,Baixa,"8,4",Equipe N2,62.353.511/0001-46,false,Dúvida sobre fatura (ticket 199),"381,32"
